what,kind,bundleId,bundleVersion,description,time
error,log,,,"Bad type signature: ;\n",1255167305362
error,log,,,"Bad type signature: ;\n",1255167305363
error,log,,,"Bad type signature: ;\n",1255167305365
error,log,,,"Bad type signature: ;\n",1255167305366
error,log,,,"Bad type signature: ;\n",1255167305368
error,log,,,"Bad type signature: ;\n",1255167305369
error,log,,,"Bad type signature: ;\n",1255167305371
error,log,,,"Bad type signature: ;\n",1255167305372
error,log,,,"Bad type signature: ;\n",1255167305374
error,log,,,"Bad type signature: ;\n",1255167305375
error,log,,,"Bad type signature: ;\n",1255167305383
error,log,,,"Bad type signature: ;\n",1255167305385
error,log,,,"Bad type signature: ;\n",1255167305386
error,log,,,"Bad type signature: ;\n",1255167305388
error,log,,,"Bad type signature: ;\n",1255167305389
error,log,,,"Bad type signature: ;\n",1255167305391
error,log,,,"Bad type signature: ;\n",1255167305392
error,log,,,"Bad type signature: ;\n",1255167305393
error,log,,,"Bad type signature: ;\n",1255167305395
error,log,,,"Bad type signature: ;\n",1255167305396
error,log,,,"Bad type signature: ;\n",1255167305398
error,log,,,"Bad type signature: ;\n",1255167305399
error,log,,,"Bad type signature: ;\n",1255167305401
error,log,,,"Bad type signature: ;\n",1255167305413
error,log,,,"Bad type signature: ;\n",1255167305414
